A,B,C,D,E,E (a.c.),F,G,H,K,P,P (a.c.),Q,Q (a.c.),S,T,T (a.c.)
βλασφημοῦντος,βλασφημοῦντος,βλασφημοῦντος,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,βλασφημοῦντος,βλασφημοῦντος,#LACUNA#,#LACUNA#,βλασφημοῦντος,#LACUNA#,#LACUNA#
τὸν,τὸν,τὸν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὸν,τὸν,#LACUNA#,#LACUNA#,τὸν,#LACUNA#,#LACUNA#
"Θεόν,","Θεόν,","Θεόν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"Θεόν,","Θεόν,",#LACUNA#,#LACUNA#,"Θεόν,",#LACUNA#,#LACUNA#
"πρόσελθε,","πρόσελθε,","πρόσελθε,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"πρόσελθε,","πρόσελθε,",#LACUNA#,#LACUNA#,"πρόσελθε,",#LACUNA#,#LACUNA#
"ἐπιτίμησον,","ἐπιτίμησον,","ἐπιτίμησον,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ἐπιτίμησον,","ἐπιτίμησον,",#LACUNA#,#LACUNA#,"ἐπιτίμησον,",#LACUNA#,#LACUNA#
κἂν,κἂν,κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κἂν,κἂν,#LACUNA#,#LACUNA#,κἂν,#LACUNA#,#LACUNA#
πληγὰς,πληγὰς,πληγὰς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,πληγὰς,πληγὰς,#LACUNA#,#LACUNA#,πληγὰς,#LACUNA#,#LACUNA#
ἐπιθεῖναι,ἐπιθεῖναι,ἐπιθεῖναι,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐπιθεῖναι,ἐπιθεῖναι,#LACUNA#,#LACUNA#,ἐπιθεῖναι,#LACUNA#,#LACUNA#
"δέῃ,","δέῃ,","δέῃ,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"δέῃ,","δέῃ,",#LACUNA#,#LACUNA#,"δέῃ,",#LACUNA#,#LACUNA#
μὴ,μὴ,μὴ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,μὴ,μὴ,#LACUNA#,#LACUNA#,μὴ,#LACUNA#,#LACUNA#
παραιτήσῃ,παραιτήσῃ,παραιτήσῃ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,παραιτήσῃ,παραιτήσῃ,#LACUNA#,#LACUNA#,παρεστήση,#LACUNA#,#LACUNA#
ῥάπισον,ῥάπισον,ῥάπισον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ῥάπισον,ῥάπισον,#LACUNA#,#LACUNA#,ῥάπισον,#LACUNA#,#LACUNA#
αὐτοῦ,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,αὐτοῦ,#LACUNA#,#LACUNA#
τὴν,τὴν,τὴν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὴν,τὴν,#LACUNA#,#LACUNA#,τὴν,#LACUNA#,#LACUNA#
"ὄψιν,","ὄψιν,","ὄψιν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ὄψιν,","ὄψιν,",#LACUNA#,#LACUNA#,"ὄψιν,",#LACUNA#,#LACUNA#
σύντριψον,σύντριψον,σύντριψον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σύντριψον,σύντριψον,#LACUNA#,#LACUNA#,σύντριψον,#LACUNA#,#LACUNA#
αὐτοῦ,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,αὐτοῦ,αὐτοῦ,#LACUNA#,#LACUNA#,αὐτοῦ,#LACUNA#,#LACUNA#
τὸ,τὸ,τὸ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὸ,τὸ,#LACUNA#,#LACUNA#,τὸ,#LACUNA#,#LACUNA#
"στόμα,","στόμα,","στόμα,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"στόμα,","στόμα,",#LACUNA#,#LACUNA#,"στόμα,",#LACUNA#,#LACUNA#
ἁγίασόν,ἁγίασόν,ἁγίασόν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἁγίασόν,ἁγίασόν,#LACUNA#,#LACUNA#,ἁγίασόν,#LACUNA#,#LACUNA#
σου,σου,σου,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,σου,σου,#LACUNA#,#LACUNA#,σου,#LACUNA#,#LACUNA#
τὴν,τὴν,τὴν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τὴν,τὴν,#LACUNA#,#LACUNA#,τὴν,#LACUNA#,#LACUNA#
χεῖρα,χεῖρα,χεῖρα,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,χεῖρα,χεῖρα,#LACUNA#,#LACUNA#,χεῖρα,#LACUNA#,#LACUNA#
διὰ,διὰ,διὰ,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,διὰ,διὰ,#LACUNA#,#LACUNA#,διὰ,#LACUNA#,#LACUNA#
τῆς,τῆς,τῆς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,τῆς,τῆς,#LACUNA#,#LACUNA#,τῆς,#LACUNA#,#LACUNA#
"πληγῆς,","πληγῆς,","πληγῆς,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"πληγῆς,","πληγῆς,",#LACUNA#,#LACUNA#,"πληγῆς,",#LACUNA#,#LACUNA#
κἂν,κἂν,κἂν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κἂν,κἂν,#LACUNA#,#LACUNA#,κἂν,#LACUNA#,#LACUNA#
ἐγκαλῶσι,ἐγκαλῶσι,ἐγκαλῶσι,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἐγκαλῶσι,ἐγκαλῶσι,#LACUNA#,#LACUNA#,ἐγκαλῶσι,#LACUNA#,#LACUNA#
"τινές,","τινές,","τινές,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"τινές,","τινές,",#LACUNA#,#LACUNA#,"τινές,",#LACUNA#,#LACUNA#
κὰν,κὰν,κὰν,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,κὰν,κὰν,#LACUNA#,#LACUNA#,κὰν,#LACUNA#,#LACUNA#
εἰς,εἰς,εἰς,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,εἰς,εἰς,#LACUNA#,#LACUNA#,εἰς,#LACUNA#,#LACUNA#
δικαστήριον,δικαστήριον,δικαστήριον,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,δικαστήριον,δικαστήριον,#LACUNA#,#LACUNA#,δικαστήριον,#LACUNA#,#LACUNA#
"ἕλκωσιν,","ἕλκωσιν,","ἕλκωσιν,",#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,"ἕλκωσιν,","ἕλκωσιν,",#LACUNA#,#LACUNA#,"ἕλκωσιν,",#LACUNA#,#LACUNA#
ἀκολούθησον.,ἀκολούθησον.,ἀκολούθησον.,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,#LACUNA#,ἀκολούθησον.,ἀκολούθησον.,#LACUNA#,#LACUNA#,ἀκολούθησον.,#LACUNA#,#LACUNA#
